Instrument,Sales,AV_kept,AV_repro,EPV,MktCap,Fr_kept,Fr_repro,EPVoverAV_kept,EPVoverAV_repro,MktCap_over_EPV,AVrepro_over_MktCap,ROICm7,WACC,CoreMoat,CompanyMoat
SHO1.WA,36411515.3646541,23959465.298305385,11686277.86264142,134555709.5765425,239268460.130187,110596244.2782371,122869431.71390107,5.615972973572971,11.513991979147516,1.7782111281876023,0.04884169796672268,0.0,0.07,6.75,5.95
ZPTA.PK,3876000.0,22331580.5625,25955864.572481837,-202442731.4203435,5473531.395,-224774311.9828435,-228398595.99282533,-9.06531138061462,-7.799498678035613,,4.742069187032011,0.0,0.07,3.7,2.8
ATSI.MC,227208933.381016,205101377.0813791,211917645.08280957,518177979.9592337,192566518.273113,313076602.8778546,306260334.87642413,2.526448078179571,2.445185627448573,0.3716223493099083,1.1004906095993867,0.0,0.06750276830204488,5.0,4.55
PSAGn.DE,282177962.466097,612322311.1705173,692385172.5663949,238424889.87283581,342907570.763019,-373897421.2976815,-453960282.6935591,0.38937808654573114,0.3443529690115837,1.438220527000806,2.0191597724883636,0.128517285,0.06696018950150531,7.45,6.2
PINE.L,39893676.6972385,95046231.80660288,64014774.476003826,171062319.79635072,391273718.22845,76016087.98974784,107047545.32034689,1.7997801337818737,2.6722318589199134,2.2873168018197134,0.16360611892319332,0.0,0.07300000000000001,7.95,7.35
MSGL.H,94182367.2921154,366413438.61610365,307044237.3085393,-801524763.8504323,139144530.924526,-1167938202.466536,-1108569001.1589715,-2.1874873554793406,-2.6104536951299457,,2.206656885961867,5.5474402818,0.06666604498089082,7.0,6.75
TTAN.OQ,771878000.0,2842485033.7549405,1873711132.616124,700300239.7387533,9254267593.49,-2142184794.0161872,-1173410892.8773706,0.24636901564039276,0.37375037568409814,13.214714301600553,0.20246995385504124,0.0,0.07,7.7,7.1
4432.T,188418293.184386,574015323.9026923,323194256.67061746,777013730.0428482,803734359.561753,202998406.1401559,453819473.37223077,1.3536463186382954,2.40416936255999,1.0343888769088176,0.4021157647743758,0.0,0.07400000000000001,8.35,7.55
KARO.OQ,250183909.904948,352143056.4918297,552936828.5531112,1115134439.4590566,1398539691.0,762991382.967227,562197610.9059454,3.166708583063967,2.016748355100649,1.254144470399839,0.3953672763893772,0.0,0.06983972707759051,7.9,7.15
9629.T,106606856.666524,261950077.9354771,227295666.0962934,333269726.9412546,257339113.037679,71319649.00577751,105974060.84496123,1.2722642786284828,1.4662388098507144,0.7721646829417546,0.8832534759805957,-0.7738831134,0.07400000000000001,6.85,6.2
3962.T,304561942.488764,408304233.9247196,201481262.26076975,1178928003.9895105,616626590.356786,770623770.064791,977446741.7287408,2.887376387595514,5.851303445099861,0.5230400739231845,0.32674760610662407,0.0,0.06978602176699396,6.55,5.8
3835.T,35913563.1865278,71230143.44373408,62983208.892180905,150807575.65247214,170793507.169056,79577432.20873806,87824366.76029123,2.1171875888695584,2.3944092132656367,1.132526044730275,0.3687681688615858,0.3422593794,0.07400000000000001,8.55,7.55
6947.T,267461246.263681,699313703.820401,642982156.079935,601895297.4969885,701844434.278093,-97418406.32341242,-41086858.58294642,0.8606942695514064,0.9360995352756903,1.166057347842304,0.9161320154106474,0.2241427612,0.07400000000000001,7.95,7.05
3661.T,169276219.657346,97646798.0034882,85219249.3147824,398055741.0469754,425933171.057019,300408943.0434872,312836491.732193,4.076485344995704,4.6709604255798975,1.0700339855335832,0.20007657328800585,3.2138165426,0.07400000000000001,7.05,6.45
4684.T,796022374.961471,3225426812.9688916,1713468871.346786,6700065030.34338,14310650216.7389,3474638217.3744884,4986596158.996593,2.0772646284837593,3.910234462022722,2.1358972117328054,0.11973382378828416,0.4840380409,0.07400000000000001,8.55,7.75
4828.T,136414362.275957,168623322.8250543,152428584.63698086,378068791.32432926,292097365.788596,209445468.49927497,225640206.6873484,2.2420907439748023,2.4803011339685797,0.7726037496123767,0.5218416955779749,0.2768975373,0.07400000000000001,7.9,6.85
AGYS.OQ,275624000.0,625982838.3704921,438147869.0733893,561653162.0857371,2032264318.5,-64329676.28475499,123505293.01234782,0.8972341215420333,1.2818803918264883,3.6183617500755245,0.21559590703082518,0.2170685865,0.07,7.4,7.05
FAAS.DE,93236161.9822195,140034031.51398367,187253707.69288638,359643996.0954551,196923642.735838,219609964.58147144,172390288.40256873,2.5682613876580525,1.920624165612277,0.5475515923351363,0.9508950022018265,0.6453234164,0.07,8.0,6.45
3778.T,206243475.114129,290203575.75623626,84976468.53916937,418607603.7807882,0.0,128404028.02455193,333631135.2416188,1.4424619086444617,4.926159100008182,0.0,,-0.0013393368,0.07400000000000001,6.5,6.1
