Instrument,AV,tangible_repro,intangible_repro,EPV,FranchiseValue,FranchiseShare,AV_over_EV,ROIC,CompanyMoat(v3.2),CoreMoat(v3.2),MoatGap
SHO1.WA,34259451.34518689,9939491.513485868,9726857.487076787,143021174.4119367,108761723.06674981,0.760458886692462,0.11303880417206551,0.408089020946553,5.95,6.75,0.8
ZPTA.PK,71944161.125,4004.0099818373,45804580.5625,-231613355.2098717,-303557516.3348717,1.3106218165174857,0.28482430959165095,-0.6202446449332165,2.8,3.7,0.9
ATSI.MC,410202754.1627582,0.0,205101377.0813791,507947082.0807689,97744327.91801071,0.19243013960747263,1.6276313365823252,0.16717505596168358,4.55,5.0,0.45
ADMr.AT,772962004.3482761,157152.8381104091,0.0,899793863.4096576,126831859.06138146,0.14095657263183348,0.42052968803122087,0.08148598518989611,8.6,9.2,0.6
ENGP.WA,5560023253.560706,14075151262.34241,0.0,4415105693.088307,-1144917560.4723988,-0.2593182677970149,0.8372083733232014,0.05558563056696884,7.0,8.45,1.45
PSAGn.DE,1191680547.385035,135036801.9504071,513553287.4620588,555967597.0895035,-635712950.2955315,-1.1434352534635035,1.324464831544744,0.054897801427475655,6.2,7.45,1.25
EYDr.AT,804543509.6745442,3182863769.927612,1851.1205311986,25789170.771866713,-778754338.9026775,-30.196951495323653,0.8109599750961405,0.002243814145404473,8.1,8.7,0.6
PINE.L,131666340.75570549,4303697.838269816,46253538.19969688,162304656.8412649,30638316.085559413,0.1887704067266776,0.3297601318867653,0.13871737719463043,7.35,7.95,0.6
PGE.WA,13371524077.12434,70405163035.99854,0.0,13402616826.780752,31092749.656412125,0.0023199014086774023,2.1183971831751878,0.06787107209592687,6.7,8.45,1.75
GEB.CN,8897276213.323154,6092671842.350153,0.0,7270543798.757029,-1626732414.5661259,-0.2237428808068293,0.7180865840181938,0.0484388993726217,7.4,8.35,0.95
ROSNN.BX,1733277701.4926538,2321915482.650995,28696.6567027621,4048600230.0105014,2315322528.5178475,0.5718822301484289,0.4163290925985289,0.16350911802632687,8.6,8.95,0.35
EMAE4.SA,171033372.22484022,0.0,56247.1211932197,-23021229.06560591,-194054601.29044613,8.429376239532184,0.9321024380271543,-0.009897252487499964,6.15,6.3,0.15
ENAE.WA,4711883053.967631,20317756835.41953,0.0,4687403409.655389,-24479644.312242508,-0.0052224317330609735,1.682772581542268,0.06963632902552325,5.65,8.25,2.6
ENEI.MI,104673585891.26971,418416144106.2043,3735693.331210361,73410305546.8159,-31263280344.45381,-0.42587045662841305,0.5620994188326679,0.05718135071660372,7.25,7.85,0.6
ENEQ.PR,134578934.385792,0.0,0.0,92984962.69206344,-41593971.69372855,-0.4473193351862121,1.069415584465225,0.048365276617405105,5.05,5.75,0.7
NTEA_p.L,3174850570.54088,9280407737.201967,12529751.67854742,2668013155.498064,-506837415.04281616,-0.18996810941443798,1.6740861695096563,0.06158924774160857,8.3,8.3,0.0
MSGL.H,629471219.7107248,0.0,286992939.03022516,-662876993.1424382,-1292348212.853163,1.9496048682073732,3.414806606441574,-0.1290341313143238,6.75,7.0,0.25
EDNm.BA,1554415533.980582,6110545889.148004,0.0,-1175766666.0437262,-2730182200.024308,2.322044227713098,1.7156552554470934,-0.052948304249312135,6.9,7.35,0.45
HRA.MI,8399730820.995968,8299316160.359882,0.0,12542117755.810768,4142386934.8148003,0.3302781089657391,0.7254574828388698,0.10242103100496333,7.0,8.5,1.5
PANP.BU,53481817.03787588,108914444.7394877,0.0,46981966.15903305,-6499850.878842831,-0.13834778342057802,0.35121917030042005,0.06149263082821637,7.15,7.95,0.8
KGN.WA,664799680.26354,2285415126.86161,0.0,329691657.8248638,-335108022.43867624,-1.0164285764752037,1.6294135818842208,0.03141552497942794,6.5,6.65,0.15
EBKG.DE,36611864582.25488,130053168395.0399,0.0,7583711250.746201,-29028153331.508682,-3.8276975970904026,0.9844604079423084,0.014499665439315875,7.55,8.1,0.55
TTAN.OQ,3893671067.5098815,132183758.8611834,1387901033.7549405,-679086557.3630309,-4572757624.872912,6.733688916814142,0.6876465675583328,-0.01897063911494645,7.1,7.7,0.6
4432.T,829455422.0417726,28238781.0507467,296509387.64771235,721976337.4436849,-107479084.59808767,-0.1488678769980757,1.7750153723292417,0.10024701474995744,7.55,8.35,0.8
KARO.OQ,517911902.9058863,340713014.5044975,180492460.7336917,1018772194.199352,500860291.29346573,0.4916312931833493,0.34009350535553295,0.21086743413205736,7.15,7.9,0.75
9629.T,251189252.2364091,0.0,134114132.6203721,171302860.13117078,-79886392.10523832,-0.46634593283537334,3.716225653097976,0.10827588040294617,6.2,6.85,0.65
3962.T,623050615.2319005,21939469.8279759,133185861.1337896,1178734208.7432303,555683593.5113299,0.4714239982088933,1.316267178587045,0.16792220803944694,5.8,6.55,0.75
9505.T,8600828634.03512,103736733728.5034,41027854.86350642,-11800649349.76278,-20401477983.797897,1.728843674539657,1.181573731611438,-0.10201733362852348,7.25,8.05,0.8
UU.L,15328319914.466288,37250799512.02116,4072889.503727396,6214098846.064301,-9114221068.401987,-1.4667003686583582,1.1852676575353451,0.029602055815450567,8.1,8.25,0.15
3835.T,57589029.80177297,0.0,22160873.687148586,104509325.74078201,46920295.93900904,0.44895798156221034,0.6504074171534375,0.21829219900116342,7.55,8.55,1.0
9501.T,63073597649.37524,932878499544.8883,502974216.484877,-84517974529.69405,-147591572179.06927,1.7462743635345321,1.4759061276907728,-0.09995633369236594,6.8,7.15,0.35
6947.T,900119678.3977208,0.0,432901119.625669,346560556.52078605,-553559121.8769348,-1.5972940701453813,2.1286173067773553,0.0548896885644694,7.05,7.95,0.9
3661.T,68451315.24672295,0.0,46036261.157873,344243078.2116174,275791762.9648945,0.8011541274777828,0.3070403755338966,1.1364678258943557,6.45,7.05,0.6
4684.T,2223344456.214544,0.0,332129047.0469218,5028627477.43924,2805283021.2246966,0.5578625646482066,0.20960112658496236,0.1967615278125741,7.75,8.55,0.8
4828.T,186316695.66678065,0.0,79363396.18284017,217782252.9418897,31465557.275109053,0.14448173278611884,0.6030132315834958,0.15068152918573316,6.85,7.9,1.05
8174.T,630767564.440318,0.0,35332.7369977827,1232970654.2287269,602203089.7884089,0.4884164012525597,0.30724904966811817,0.13561359979824786,6.95,7.5,0.55
AGYS.OQ,937038676.7409843,74109310.70289722,360096838.3704921,186346146.84854054,-750692529.8924438,-4.028484315817894,0.3918577830079483,0.022609263901262232,7.05,7.4,0.35
9502.T,38345086147.728325,0.0,236064247.588735,10616415890.571438,-27728670257.156887,-2.6118673705862485,1.1912867667381803,0.02061492887329677,7.7,8.25,0.55
9504.T,23978501553.48332,418632783209.5043,204522533.9940972,-34013099417.712414,-57991600971.19573,1.7049784337206402,1.1650139027949564,-0.10587076546367692,7.7,8.25,0.55
PNN.L,7182356286.844456,16410608291.82922,2605459.953469657,2031056837.5321681,-5151299449.312287,-2.536265531382846,0.8067813047496185,0.020650737430124955,7.35,7.8,0.45
FAAS.DE,228116133.81447196,83486054.70927015,103414130.38144286,338047271.0456356,109931137.23116362,0.3251945708395415,1.3523331234826532,0.18975885167637113,6.45,8.0,1.55
9503.T,45101448916.87293,370501600395.3014,288567072.6412032,-34024347916.255657,-79125796833.12859,2.325563946967666,1.1329915133448805,-0.05618477638984978,7.7,8.25,0.55
3778.T,342429652.34608376,0.0,89768237.31008728,188330245.64943904,-154099406.69664472,-0.8182403530842722,0.3936392908033468,0.05515855349766396,6.1,6.5,0.4
9640.T,283372656.8708508,0.0,140143874.28404158,89051463.4412959,-194321193.42955488,-2.1821224033859297,2.0105561931543066,0.04600896674285349,7.45,8.05,0.6
4733.T,588964358.5929415,26240618.78157639,301377727.8126458,1537985121.5887334,949020762.9957919,0.6170545798358937,0.32237379824206785,0.395744748943191,7.9,8.3,0.4
4685.T,284641893.1165666,0.0,83688068.93240817,235881839.37770307,-48760053.73886353,-0.20671389483607958,1.3926602515752158,0.0868620250687723,5.05,6.55,1.5
CMG.TO,290972135.4779973,52241349.28214213,117475363.63112348,503991083.5959948,213018948.11799747,0.4226641205596327,1.262477583319055,0.19717137474068724,7.05,8.1,1.05
